thermostat,id,name,temp,setpoint,status,mode,time
EMEA_ZONE,7337783,Logeerkamer,17.82,18.0,Scheduled,Off,2026-01-03 17:08:36
EMEA_ZONE,7162110,Slp. Harvey,19.1,16.0,Scheduled,Off,2026-01-03 17:08:36
EMEA_ZONE,7072444,Slp. R&M,19.1,16.0,Scheduled,Off,2026-01-03 17:08:36
EMEA_ZONE,7073860,Woonkamer,20.09,20.5,Scheduled,Off,2026-01-03 17:08:36
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 17:08:36
EMEA_ZONE,7403695,1e overig,18.12,16.5,Scheduled,Off,2026-01-03 17:26:19
EMEA_ZONE,7403694,Badkamer,18.16,16.5,Scheduled,Off,2026-01-03 17:26:19
EMEA_ZONE,7337783,Logeerkamer,17.77,18.0,Scheduled,Off,2026-01-03 17:26:19
EMEA_ZONE,7162110,Slp. Harvey,19.08,16.0,Scheduled,Off,2026-01-03 17:26:19
EMEA_ZONE,7072444,Slp. R&M,19.08,16.0,Scheduled,Off,2026-01-03 17:26:19
EMEA_ZONE,7073860,Woonkamer,20.14,20.5,Scheduled,Off,2026-01-03 17:26:19
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 17:26:19
EMEA_ZONE,7403695,1e overig,18.07,16.5,Scheduled,Off,2026-01-03 17:42:17
EMEA_ZONE,7403694,Badkamer,18.07,16.5,Scheduled,Off,2026-01-03 17:42:17
EMEA_ZONE,7337783,Logeerkamer,17.74,18.0,Scheduled,Off,2026-01-03 17:42:17
EMEA_ZONE,7162110,Slp. Harvey,19.03,16.0,Scheduled,Off,2026-01-03 17:42:17
EMEA_ZONE,7072444,Slp. R&M,19.03,16.0,Scheduled,Off,2026-01-03 17:42:17
EMEA_ZONE,7073860,Woonkamer,20.19,20.5,Scheduled,Off,2026-01-03 17:42:17
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 17:42:17
EMEA_ZONE,7403695,1e overig,18.02,16.5,Scheduled,Off,2026-01-03 17:53:31
EMEA_ZONE,7403694,Badkamer,18.02,16.5,Scheduled,Off,2026-01-03 17:53:31
EMEA_ZONE,7337783,Logeerkamer,17.72,18.0,Scheduled,Off,2026-01-03 17:53:31
EMEA_ZONE,7162110,Slp. Harvey,19.01,16.0,Scheduled,Off,2026-01-03 17:53:31
EMEA_ZONE,7072444,Slp. R&M,19.01,16.0,Scheduled,Off,2026-01-03 17:53:31
EMEA_ZONE,7073860,Woonkamer,20.19,20.5,Scheduled,Off,2026-01-03 17:53:31
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 17:53:31
EMEA_ZONE,7403695,1e overig,18.02,16.5,Scheduled,Off,2026-01-03 18:06:48
EMEA_ZONE,7403694,Badkamer,17.96,16.5,Scheduled,Off,2026-01-03 18:06:48
EMEA_ZONE,7337783,Logeerkamer,17.67,18.0,Scheduled,Off,2026-01-03 18:06:48
EMEA_ZONE,7162110,Slp. Harvey,18.98,16.0,Scheduled,Off,2026-01-03 18:06:48
EMEA_ZONE,7072444,Slp. R&M,18.98,16.0,Scheduled,Off,2026-01-03 18:06:48
EMEA_ZONE,7073860,Woonkamer,20.24,20.5,Scheduled,Off,2026-01-03 18:06:48
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 18:06:48
EMEA_ZONE,7403695,1e overig,17.97,16.5,Scheduled,Off,2026-01-03 18:24:56
EMEA_ZONE,7403694,Badkamer,17.87,18.5,Scheduled,Off,2026-01-03 18:24:56
EMEA_ZONE,7337783,Logeerkamer,17.66,18.0,Scheduled,Off,2026-01-03 18:24:56
EMEA_ZONE,7162110,Slp. Harvey,18.93,16.0,Scheduled,Off,2026-01-03 18:24:56
EMEA_ZONE,7072444,Slp. R&M,18.93,16.0,Scheduled,Off,2026-01-03 18:24:56
EMEA_ZONE,7073860,Woonkamer,20.26,20.5,Scheduled,Off,2026-01-03 18:24:56
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 18:24:56
EMEA_ZONE,7403695,1e overig,17.94,16.5,Scheduled,Off,2026-01-03 18:36:57
EMEA_ZONE,7403694,Badkamer,17.82,18.5,Scheduled,Off,2026-01-03 18:36:57
